molecule_chembl_id,canonical_smiles,standard_value
CHEMBL569829,CCOc1ccccc1-c1cc(-c2ccc3c(c2)OCO3)[nH]c(=O)c1C#N,
CHEMBL567042,CCOc1ccc(-c2cc(-c3ccc4c(c3)OCO4)[nH]c(=O)c2C#N)cc1,
CHEMBL189,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,11400.0
CHEMBL571372,CCOc1ccccc1-c1cc(-c2ccc(Br)cc2)[nH]c(=N)c1C#N,27000.0
CHEMBL189,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,3600.0
CHEMBL591059,Cc1cc(=O)[nH]c2ccc(OCc3cccc(C(=O)N4CCN(C)CC4)c3)cc12,1760.0
CHEMBL589984,CCN1CCN(C(=O)c2cccc(COc3ccc4[nH]c(=O)cc(C)c4c3)c2)CC1,1440.0
CHEMBL601295,Cc1cc(=O)[nH]c2ccc(OCc3cccc(C(=O)N4CCN(CCO)CC4)c3)cc12,1650.0
CHEMBL591114,Cc1cc(=O)[nH]c2ccc(OCc3cccc(C(=O)N4CCC(=O)CC4)c3)cc12,1260.0
CHEMBL591997,Cc1cc(=O)[nH]c2ccc(OCc3cccc(C(=O)N4CCC(C(=O)O)CC4)c3)cc12,840.0
CHEMBL592241,Cc1cc(=O)[nH]c2ccc(OCc3cccc(C(=O)N4CCC(O)CC4)c3)cc12,1350.0
CHEMBL592242,Cc1cc(=O)[nH]c2ccc(OCc3cccc(C(=O)N4CCCCC4)c3)cc12,660.0
CHEMBL592243,Cc1cc(=O)[nH]c2ccc(OCc3cccc(C(=O)N4CCC(C)CC4)c3)cc12,430.0
CHEMBL603613,Cc1cc(=O)[nH]c2ccc(OCc3cccc(C(=O)N4CCOCC4)c3)cc12,1340.0
CHEMBL592057,Cc1cc(=O)[nH]c2ccc(OCc3cccc(C(=O)N4CCCC4)c3)cc12,640.0
CHEMBL17423,COc1ccc(C(=O)N2CCN(c3ccc4c(c3)CCC(=O)N4)CC2)cc1OC,10700.0
CHEMBL592059,CN1CCN(C(=O)c2cccc(COc3ccc4[nH]c(=O)ccc4c3)c2)CC1,2840.0
CHEMBL591501,CCCOCCn1c(=O)c(N2CCN(CCO)CC2)nc2cnc(-c3ccc(OC)nc3)cc21,2000.0
CHEMBL1086110,CCCc1nc(C)c2c(C)nc3ccc(OC)nc3n12,3700.0
CHEMBL1085374,CCCc1nc(C)c2c(NS(C)(=O)=O)nc3ccc(OC)nc3n12,1260.0
CHEMBL1221434,CC(C)(O)CCc1ccc(OCc2cc(-c3cccc(OC(F)F)c3)c3ncccc3c2)cc1,29000.0
CHEMBL1641615,Cc1nc2c3ccccc3nc(SCc3nc4ccccc4[nH]3)n2n1,10000.0
CHEMBL1642568,Cc1ccc2nc(CCc3nc(-c4ccccc4)cn3C)n3nc(C)cc3c2c1,10000.0
CHEMBL34431,CN(C(=O)CCCOc1ccc2[nH]c(=O)ccc2c1)C1CCCCC1,18.1
CHEMBL1683806,C/C(=N\NS(=O)(=O)c1ccc(C)cc1)c1ccc2c(c1)C(C)(C)C(=O)N2,14.8
CHEMBL19449,CC(C)C(=O)c1c(C(C)C)nn2ccccc12,299000.0
CHEMBL1779335,CC1CC(=O)NN=C1c1c(C(C)C)nn2ccccc12,89000.0
CHEMBL1779425,CC(C)c1nn2ccccc2c1C1=NNC(=O)C[C@H]1C,3800.0
CHEMBL1779426,CC(C)c1nn2ccccc2c1C1=NNC(=O)C[C@@H]1C,400000.0
CHEMBL1779427,CC(C)c1nn2ccccc2c1C1=NNC(=O)CC1,110000.0
CHEMBL1777830,CC(C)c1nn2ccccc2c1-c1ccc(=O)[nH]n1,72000.0
CHEMBL1779428,Cc1cc(=O)[nH]nc1-c1c(C(C)C)nn2ccccc12,400000.0
CHEMBL1779429,O=C1CC2CCc3nn4ccccc4c3C2=NN1,7000.0
CHEMBL1779430,O=C1CC2CCc3nn4ccccc4c3C2=NN1Cc1ccccc1,26000.0
CHEMBL1779431,CC12CCc3nn4ccccc4c3C1=NNC(=O)C2,15000.0
CHEMBL1779432,CC12CCc3nn4ccccc4c3C1=NN(Cc1ccccc1)C(=O)C2,8900.0
CHEMBL1779433,O=c1cc2c(n[nH]1)-c1c(nn3ccccc13)CC2,3200.0
CHEMBL1779434,O=c1cc2c(nn1Cc1ccccc1)-c1c(nn3ccccc13)CC2,69000.0
CHEMBL1779435,CC(C)c1nn2cccc3c2c1C1=NNC(=O)CC1C3,210000.0
CHEMBL1779438,COc1cccc2c(C3=NNC(=O)CC3)c(C(C)C)nn12,260000.0
CHEMBL1779439,COc1cccc2c(C3=NN(Cc4ccccc4)C(=O)CC3)c(C(C)C)nn12,400000.0
CHEMBL1779440,CC(C)c1nn2ccccc2c1-c1ccc(Cl)nn1,400000.0
CHEMBL1779441,Cc1cc(Cl)nnc1-c1c(C(C)C)nn2ccccc12,400000.0
CHEMBL1779442,COc1ccc(-c2c(C(C)C)nn3ccccc23)nn1,400000.0
CHEMBL1779444,COc1ccc(-c2ccc(=O)[nH]n2)c2cc(C(C)C)nn12,2750.0
CHEMBL1779445,COc1ccc(-c2ccc(=O)n(Cc3ccccc3)n2)c2cc(C(C)C)nn12,41500.0
CHEMBL1779446,COc1ccc(C2=NNC(=O)CC2)c2cc(C(C)C)nn12,39600.0
CHEMBL1779447,COc1ccc(C2=NN(Cc3ccccc3)C(=O)CC2)c2cc(C(C)C)nn12,33500.0
CHEMBL1819121,COc1cc2ncnc(N3CCCC(c4ccccc4)C3)c2cc1OC,8.5
CHEMBL1819122,CCCOc1cc2c(N3CCCC(c4ccccc4)C3)ncnc2cc1OC,98.0
CHEMBL19224,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,917.0
CHEMBL1821775,COc1ccc(Cc2nccc3cc(OCCF)c(OC)cc23)cc1C.O=C(O)C(=O)O,1190.0
CHEMBL1821774,COc1ccc(Cc2nccc3cc(OCCF)c(OC)cc23)cc1F.O=C(O)C(=O)O,1290.0
CHEMBL1821789,COc1cc2ccnc(Cc3ccc(OCCF)c(OC)c3)c2cc1OC.O=C(O)C(=O)O,1740.0
CHEMBL1821787,COc1cc2ccnc(Cc3ccc(OC)c(OCCF)c3)c2cc1OC.O=C(O)C(=O)O,1940.0
CHEMBL1821790,COc1cc2ccnc(Cc3ccc(OCCOCCF)c(OC)c3)c2cc1OC.O=C(O)C(=O)O,2200.0
CHEMBL1821791,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1.O=C(O)C(=O)O,3980.0
CHEMBL1821776,COc1cc2c(Cc3ccc(SC)cc3)nccc2cc1OCCF.O=C(O)C(=O)O,
CHEMBL1821777,COc1ccc(Cc2nccc3cc(OC)c(OCCF)cc23)cc1F.O=C(O)C(=O)O,
CHEMBL1821778,COc1ccc(Cc2nccc3cc(OC)c(OCCF)cc23)cc1C.O=C(O)C(=O)O,
CHEMBL1821779,COc1cc2ccnc(Cc3ccc(SC)cc3)c2cc1OCCF.O=C(O)C(=O)O,
CHEMBL1821780,COc1ccc(Cc2nccc3cc(OC)c(OCCF)cc23)c(F)c1.O=C(O)C(=O)O,
CHEMBL1821781,COc1ccc(Br)cc1Cc1nccc2cc(OC)c(OCCF)cc12.O=C(O)C(=O)O,
CHEMBL1821782,COc1ccc(Cc2nccc3cc(OC)c(OCCF)cc23)cc1Br.O=C(O)C(=O)O,
CHEMBL1821783,COc1cc2ccnc(Cc3cccc(F)c3)c2cc1OCCF.O=C(O)C(=O)O,
CHEMBL1821784,COc1ccc(Cc2nccc3cc(OC)c(OCCF)cc23)cc1OCCF.O=C(O)C(=O)O,
CHEMBL1821785,COc1ccc(OC)c(Cc2nccc3cc(OC)c(OCCF)cc23)c1.O=C(O)C(=O)O,
CHEMBL1821786,COc1cc(Cc2nccc3cc(OC)c(OCCF)cc23)ccc1F.O=C(O)C(=O)O,
CHEMBL1821788,COc1cc(Cc2nccc3cc(OC)c(OCCF)cc23)ccc1OCCF.O=C(O)C(=O)O,
CHEMBL1911559,O=C(Nc1ccc(N2CCOCC2)cc1)c1cn(Cc2c(F)cccc2Cl)c2ccc(=O)[nH]c2c1=O,1000.0
